well_id,well_name,lat,long,gse,aquifer_id
794572,"Wiwi",13.451120000000001,9.43542,373.44,1
794574,"Kakibaré",13.3394,9.3926,370.08,1
794576,"May Gwaiba",13.143870000000001,9.32023,374.12,1
794577,"Kan Dawa oukou",13.246870000000001,9.38815,372.14,1
794579,"Yakaouda",13.51489,9.49039,373.7,1
794588,"Gourgouzou3",13.0866,8.877419999999997,402.93,1
794590,"Machaya",13.6284,8.88619,419.35,1
794591,"Tassaou",13.504179999999998,8.49184,427.26,1
794595,"Droum",13.580589999999999,8.881960000000003,411.39,1
794605,"Korama",13.378260000000001,8.89356,399.35,1
796106,"Guertaou",13.331920000000002,8.68866,441.67,1
796124,"Marké",13.11842,8.56218,468.62,1
796289,"Zongo awakoss",13.531379999999999,9.13239,399.32,1
796291,"Baykori",13.2318,8.94489,414.45,1
796292,"Bakadoubou",12.9727,9.04796,384.51,1
796293,"Moni",13.46335,9.58958,362.28,1
796294,"Bassanssani",12.911669999999999,9.72478,362.02,1
796296,"Wacha NP",13.365789999999999,9.28253,377.23,1
796297,"GuidimouniNP",13.7028,9.52243,421.65,1
796298,"Apké",13.535929999999999,9.712769999999999,385.17,1
796300,"Kassori",13.54306,9.98831,381.14,1
796301,"Malan Ganari",13.179129999999999,9.90542,360.95,1
796686,"Gazamni",13.63122,9.74511,377.59,1
796688,"Menaho",13.50145,9.8664,381.29,1
796691,"Kouroua",13.77099,9.79941,397.33,1
796692,"Korama Namango",13.12098,9.12463,387.39,1
796693,"Jeka Da Bouta",13.09596,9.55175,373.49,1
796694,"Wainaram",13.296529999999999,9.671510000000001,361.27,1
796695,"Angoual Manda",13.22005,9.02559,399.01,1
796696,"Ara haoussa",13.140360000000001,8.942039999999997,403.74,1
796697,"Dan Tilla",13.223070000000002,8.72338,424.35,1
796699,"Yerda",13.169360000000001,9.48368,372.88,1
796701,"Gocholo",13.27046,8.77555,415.93,1
796702,"Gamdou",13.60186,9.109589999999999,410.85,1
796704,"Ruwan chabara",13.338370000000001,8.95497,402.39,1
796705,"Falki",13.68072,9.183689999999999,398.2,1
796706,"Fotoro",13.75653,9.20115,406.32,1
796707,"Dan Dilla",13.07963,8.942219999999997,395.44,1
796708,"Satoumawa",13.050460000000001,8.794039999999999,412.75,1
796710,"Kada Zaki",13.4115,8.4145,455,1
796738,"Doungou haoussa",13.41635,8.632760000000001,418.59,1
796739,"Mai kilia",12.90831,8.7543,407.74,1
796740,"Dan Tekey",13.10365,9.35745,370.66,1
796916,"Gayi",13.483629999999998,9.365169999999999,379.74,1
796945,"Guidimouni",13.687479999999999,9.50985,421.65,1
799603,"Koucthika",13.37994,8.9879,396.5,1
DB0001,"Yeda",13.539639999999999,2.929528,203.19,3
DB0002,"Zouzou Béri",13.46761,2.884056,202.97,3
DB0003,"Koygolo P23",13.491470000000001,3.010139,204.67,3
DB0004,"Sandé Moussa",13.24983,2.845639,193.43,3
DB0006,"Tamkala Sapodou",13.06747,2.859861,186.5,3
DB0007,"Fabidji",12.91356,2.8695,178.29,3
DB0008,"Belandé",12.73586,2.867722,177.09,3
DB0009,"Djonkoto",12.70908,2.955167,185,3
DB0010,"Guilladjé",12.61867,2.906861,176.2,3
K00002,"Dossono PC",12.9572,9.5778,362.49,1
K00003,"Bouttouli PC",12.8482,9.5603,359.06,1
K00004,"Dogo Dogo PC",12.8894,9.3274,368.8,1
M0001,"Gamji",13.31192,7.1281940000000015,352.86,2
M0002,"Soumarana1",13.448529999999998,7.093889,342.1,2
