well_id,date,value,aquifer_id
aqx-klamath-basin-groundwate-42.47N121.42W,2022-02-24,7.1,ID_00000
USGS-423445121424201,2022-03-10,8,ID_00000
USGS-422753121284201,2022-02-24,8,ID_00000
aqx-klamath-basin-groundwate-42.62N121.76W,2022-03-02,8.2,ID_00000
USGS-423618121453901,2022-03-09,8.3,ID_00000
USGS-422756121280701,2019-11-05,7.6,ID_00000
USGS-423659121431601,2019-11-20,7.8,ID_00000
USGS-423618121453901,2019-10-24,8.3,ID_00000
USGS-422753121284201,2019-10-24,7.9,ID_00000
USGS-422301121030301,2019-11-21,8.2,ID_00000
USGS-423445121424201,2019-11-20,7.8,ID_00000
