well_id,well_name,lat,long,gse,aquifer_id
132624144452771,"A-20, Ordot, Guam",13.44175,144.7596389,137.0,0
132626144471771,"EX-4 Mangilao, Guam",13.44158333,144.79002780000002,153.22,0
132644144480871,"BPM 1, Mangilao, Guam",13.44652778,144.8043333,209.52,0
132736144461671,"EX-1 Chochogo, Guam",13.46138889,144.77361100000002,94.32,0
132806144481871,"EX-9 Barrigada, Guam",13.46966667,144.8075278,238.89,0
132813144472771,"A-16, Barrigada, Guam",13.471361100000001,144.79252780000002,207.73,0
132813144492501,"NCS-3, Barrigada, Guam",13.47022222,144.823611,294.5,5
132832144495201,"AECOM-11, Barrigada, Guam",13.4756111,144.83125,353.0,5
133021144520001,"AECOM-9, Andersen South, Guam",13.50588889,144.8666389,361.6,1
133032144491871,"M-10A, Harmon Loop School, Dededo, Guam",13.5106111,144.8241389,228.62,1
133047144500171,"M-11, Marbo, Guam",13.51497222,144.8353056,295.82,1
133047144510171,"MW-2, Marbo, Guam",13.51455556,144.8527222,350.54,1
133119144491771,"EX-7 Wettengel, Guam",13.52333333,144.8239722,282.72,1
133120144505471,"GHURA-Dededo, Guam",13.52425,144.8499167,394.13,1
133224144495271,"EX-10 Finegayan, Guam",13.54183333,144.8338889,348.02,1
133345144553201,"AECOM 7, Andersen AFB, Guam",13.56244444,144.9256667,523.9,4
133412144504901,"NCS-A, Finegayan, Guam",13.57008333,144.847,429.0,2
133502144531101,"AECOM 3, Andersen AFB, Guam",13.584000000000001,144.8865833,566.2,3
133517144520701,"AECOM 1, Andersen AFB, Guam",13.58816667,144.8686944,474.5,3
133628144513271,"EX-8 Northwest Field, Guam",13.60945,144.8611556,461.71,3
