well_id,lat,long,aquifer_id
770,18.2244,-77.371,9
776,18.458,-77.6898,8
781,18.4169,-77.7351,8
783,17.9538,-77.7669,5
784,18.1235,-77.9997,6
790,18.3736,-77.929,7
791,17.851,-77.2439,4
796,17.9459,-76.6839,2
799,17.9414,-77.0922,3
801,17.983045,-76.9365,3
803,18.419,-77.747,8
804,18.4429,-77.7343,8
810,17.8388,-77.2968,4
812,17.8676,-77.3655,4
814,17.8483,-77.2324,4
815,17.9512,-77.7498,5
822,17.8581,-77.2527,4
823,18.4937,-77.8616,7
829,17.9063,-76.5882,1
831,17.9535,-77.7395,5
837,17.9711,-77.0006,3
840,18.4485,-77.6464,8
846,18.4472,-77.7136,8
847,17.9541,-77.0712,3
850,17.854,-77.3139,4
851,18.4476,-77.6445,8
852,17.956,-77.7681,5
856,18.389,-77.6565,8
860,17.9673,-77.0724,3
863,17.9713,-77.7819,5
865,18.4468,-77.7433,8
867,17.926,-77.131,3
871,17.928,-77.116,3
873,18.3951,-77.6958,8
879,17.945,-77.7542,5
887,17.979,-77.788,5
888,18.0011,-76.8217,2
889,17.8549,-77.2843,4
890,17.9954,-76.8171,2
892,18.4343,-77.5958,8
893,17.8686,-77.2503,4
895,17.8554,-77.2842,4
896,17.9355,-77.7442,5
902,17.9079,-77.3367,4
904,18.447,-77.744,8
907,17.8775,-77.3301,4
908,17.8809,-76.5855,1
910,17.8653,-77.268,4
915,18.4488,-77.3239,9
919,17.8529,-77.2392,4
924,17.9409,-77.751,5
927,17.9101,-76.5872,1
929,17.9591,-77.7288,5
933,18.167,-76.9598,3
937,18.2869,-77.0927,9
938,18.2869,-77.0927,9
940,18.1298,-76.971,3
942,18.4724,-77.7187,8
943,17.8861,-77.3596,4
947,17.9268,-77.7429,5
950,18.4754,-77.8765,7
952,18.4674,-77.7443,8
959,17.9623,-77.2404,4
960,17.9148,-76.5787,1
963,17.9516,-77.7515,5
964,18.442,-77.7652,8
965,17.9267,-77.7436,5
968,17.905,-77.3286,4
970,17.994892,-77.012937,3
972,17.937,-77.1183,3
973,18.4735,-77.6114,8
975,17.8956,-77.2383,4
976,17.9567,-77.726,5
980,17.971,-77.368,4
981,18.419,-77.747,8
984,17.9388,-77.7155,5
985,18.5123,-77.8781,7
986,18.5164,-77.8677,7
989,17.8994,-77.3586,4
991,17.9279,-77.368,4
995,18.4405,-77.9394,7
998,18.3887,-77.7341,8
999,17.9558,-77.7263,5
1002,18.0203,-77.6374,5
1004,18.438,-77.9268,7
1008,17.8808,-76.3725,1
1009,17.9131,-77.3631,4
1010,18.0545,-77.6584,5
1013,17.8808,-76.3723,1
1014,17.9071,-77.32,4
1015,17.9502,-77.3856,4
1016,17.9628,-77.7799,5
1019,17.9388,-77.1145,3
1021,17.9206,-77.7285,5
1025,18.4644,-77.7019,8
1026,18.1722,-77.0728,3
1028,18.4338,-77.5924,8
1029,18.4828,-77.7416,8
1032,17.9007,-77.1476,4
1038,18.006,-76.99,3
1039,18.4198,-77.6616,8
1043,18.4675,-77.4937,9
1044,18.0629,-76.9152,3
1048,17.8898,-77.2935,4
1050,18.1521,-76.9889,3
1053,18.4504,-77.4163,9
1054,18.450114,-77.4187,9
1056,17.975,-77.7982,5
